set,col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12
1,계절,거절,기절,구절,시절,기질,기저,기적,기점,기척,기억,시설
2,고치,꼬치,꽁치,코치,꼴지,까치,토지,교체,고체,고리,골치,고리
3,사모,사부,사수,사주,사고,식구,식후,시루,시조,산후,잡지,당시
4,짝수,박수,착수,낙서,특수,악수,작사,폭소,산후,폭소,음치,악수
5,여기,역기,열기,연기,얘기,옷깃,암기,용기,아기,오기,요기,악수
6,사망,사방,사상,사당,사랑,사탕,사장,자랑,타당,다방,사항,사항
7,고비,고삐,고시,고지,공시,공지,공기,공식,고시,공기,공식,고체
8,각지,낙지,착지,깍지,악기,각시,낚시,잡지,상시,잡지,당시,교체
9,위치,이치,아치,어치,의치,여치,메주,예치,배우,메주,여치,완치
10,배구,배추,배수,맥주,배우,페루,백수,폐수,매수,매부,백기,빗길
11,감사,감시,감수,검사,검소,검수,간사,강사,감세,감소,겸사,금수
12,나비,자비,아비,마비,차비,달빛,갈비,장비,학비,설비,택배,패배
13,가루,나루,마루,자루,하루,보루,머루,벼루,만루,이루,블루,만루
14,추석,추억,추천,추첨,초청,초점,초석,조선,조절,조청,조서,조성
15,뿌리,부리,구리,수리,비리,우리,추리,보리,꼬리,도리,조리,피리
16,삼촌,사촌,산촌,식초,상처,삼치,신체,상추,사채,상처,새치,시체
17,잡무,잘못,장맛,장만,자막,자만,작문,자문,자모,작물,자막,자정
18,악어,약어,언어,연어,인어,잉어,용어,영어,잉어,원어,은어,영어
19,표지,표기,표시,포기,보기,빼기,패기,핏기,백기,필기,포기,파기
20,시장,소장,심장,실장,산장,송장,선장,상장,성장,새장,초장,곤장
21,톱밥,텃밭,태반,탐방,타박,달밤,대박,답방,닭발,뜻밖,다발,단발
22,감자,각자,강자,단자,난자,낭자,박자,판자,한자,학자,외자,의자
23,씨앗,시음,사업,사연,사옥,사육,서양,세월,사기,쓰기,사기,차기
24,공장,농장,고장,통장,분장,순장,초장,훈장,곤장,촌장,순장,훈장
25,반팔,반말,반달,반란,반상,반장,반찬,반항,반감,반반,반발,반납
26,한국,난국,만국,판국,강국,당국,항구,강구,안구,당구,짱구,강구
27,기름,이름,지름,그림,트림,씨름,보름,소름,여름,크림,주름,노름
28,토기,도끼,토끼,동기,특기,등기,돌기,떨기,딸기,모기,뙈기,듣기
29,모기,모피,모시,모이,모터,모찌,모자,모두,모녀,몰래,목화,모터
30,가전,가정,장정,사전,감전,사정,다전,대박,자전,감정,상점,감정
31,액자,양자,왕자,외자,원자,의자,여자,야자,임자,약자,유자,이자
32,여신,외신,운신,위신,육신,유신,헌신,임신,화신,회신,확신,혼신
33,조기,초기,후기,쓰기,사기,파기,투기,차기,후기,자기,우기,크기
34,높이,논리,놀이,노비,녹지,논의,농지,농민,농민,노인,노기,노크
35,장미,장마,장가,장구,장사,장소,장수,장치,장기,장모,장기,장수
36,수유,수요,수재,수해,수지,수치,수초,수의,수위,수호,수화,수호
37,소리,소비,사지,소지,수기,수비,사리,사비,사시,사이,사치,사리
38,인간,민간,인자,인감,인상,인장,인사,인가,민가,인하,민사,인가
39,경기,경시,경비,경지,경치,경고,경로,경보,경추,경도,경호,경이
40,후식,주식,구식,무식,수식,무직,구직,추진,누진,수직,무진,후진
41,식당,식빵,신랑,신탁,신장,신상,신방,신당,신앙,신망,신방,신당
42,야인,여인,의의,요인,유인,애인,위인,의인,아이,어이,오이,예의
43,머리,물욕,무리,물리,물음,미라,미래,미로,미련,밀림,무료,무료
44,고정,도정,수정,조정,요정,교정,투정,추정,부정,표정,부정,우정
45,유지,휴지,규제,구제,유죄,부재,유제,추정,무지,투지,부재,무지
46,대추,대수,대구,대두,대부,대꾸,대포,대조,대로,대우,데모,데코
47,유언,우연,우의,유의,우유,우울,우애,유일,유연,유아,우정,유예
48,외모,외무,외부,외투,외교,표정,최고,최소,최초,최후,최저,회수
49,가위,고위,가요,기와,기요,거의,구유,고의,거위,과외,교우,지조
50,기도,기소,기호,기조,기로,기초,기포,지로,지조,진로,지도,기로
